home_team,away_team,provider,sp_home_rating,sp_away_rating,model_spread_home,market_spread_home,edge_points,cover_prob,tier,model_pick
TCU,Cincinnati,Bovada,8.3,4.5,6.3,-3.0,3.3,0.6,A,HOME (TCU)
Liberty,Kennesaw State,ESPN Bet,-9.0,-5.4,-1.1,2.5,1.4,0.543,C,HOME (Liberty)
Southern Miss,Troy,ESPN Bet,-7.1,-4.8,0.2,-6.5,-6.3,0.686,A,AWAY (Troy)
Coastal Carolina,James Madison,Bovada,-15.1,12.3,-24.9,24.0,-0.9,0.528,C,AWAY (James Madison)
USC,UCLA,Bovada,16.9,-8.7,28.1,-21.0,7.1,0.708,A,HOME (USC)
Florida,Florida State,ESPN Bet,3.5,7.2,-1.2,1.5,0.3,0.509,Pass,HOME (Florida)
Washington State,Oregon State,Bovada,3.8,-15.9,22.2,-14.0,8.2,0.736,A,HOME (Washington State)
Virginia,Virginia Tech,ESPN Bet,11.1,-10.1,23.7,-9.5,14.2,0.863,A,HOME (Virginia)
Michigan State,Maryland,Bovada,-3.4,0.6,-1.5,-4.0,-5.5,0.664,A,AWAY (Maryland)
South Florida,Rice,ESPN Bet,11.6,-14.8,28.9,-28.5,0.4,0.512,Pass,HOME (South Florida)
Illinois,Northwestern,DraftKings,12.9,5.8,9.6,-7.0,2.6,0.579,B,HOME (Illinois)
Tulsa,UAB,Bovada,-10.0,-15.8,8.3,-9.0,-0.7,0.521,C,AWAY (UAB)
California,SMU,Bovada,-3.2,13.4,-14.1,13.5,-0.6,0.518,Pass,AWAY (SMU)
Massachusetts,Bowling Green,DraftKings,-36.6,-12.6,-21.5,14.0,-7.5,0.718,A,AWAY (Bowling Green)
Eastern Michigan,Western Michigan,Bovada,-14.7,-1.4,-10.8,10.0,-0.8,0.525,C,AWAY (Western Michigan)
Buffalo,Ohio,Bovada,-7.5,-4.0,-1.0,7.0,6.0,0.678,A,HOME (Buffalo)
Northern Illinois,Kent State,Bovada,-16.7,-19.3,5.1,-5.0,0.1,0.503,Pass,HOME (Northern Illinois)
Colorado State,Air Force,ESPN Bet,-15.6,-3.2,-9.9,2.5,-7.4,0.715,A,AWAY (Air Force)
Georgia Tech,Georgia,ESPN Bet,9.3,24.1,-12.3,15.5,3.2,0.597,B,HOME (Georgia Tech)
New Mexico,San Diego State,ESPN Bet,0.9,6.7,-3.3,1.5,-1.8,0.555,B,AWAY (San Diego State)
Utah State,Boise State,ESPN Bet,-3.1,3.1,-3.7,1.5,-2.2,0.567,B,AWAY (Boise State)
Purdue,Indiana,DraftKings,-6.1,32.4,-36.0,28.5,-7.5,0.718,A,AWAY (Indiana)
Texas,Texas A&M,DraftKings,16.2,20.7,-2.0,2.5,0.5,0.515,Pass,HOME (Texas)
Arizona State,Arizona,Bovada,3.9,12.0,-5.6,2.0,-3.6,0.609,A,AWAY (Arizona)
Michigan,Ohio State,ESPN Bet,12.4,30.1,-15.2,9.5,-5.7,0.669,A,AWAY (Ohio State)
West Virginia,Texas Tech,ESPN Bet,-6.8,27.6,-31.9,24.5,-7.4,0.715,A,AWAY (Texas Tech)
New Mexico State,Middle Tennessee,Bovada,-15.5,-16.0,3.0,-3.5,-0.5,0.515,Pass,AWAY (Middle Tennessee)
Texas State,South Alabama,ESPN Bet,2.3,-12.7,17.5,-9.5,8.0,0.731,A,HOME (Texas State)
Washington,Oregon,ESPN Bet,18.4,25.9,-5.0,6.5,1.5,0.546,C,HOME (Washington)
Tulane,Charlotte,ESPN Bet,6.3,-26.7,35.5,-31.5,4.0,0.621,A,HOME (Tulane)
NC State,North Carolina,DraftKings,4.8,-6.6,13.9,-7.0,6.9,0.702,A,HOME (NC State)
Kansas State,Colorado,ESPN Bet,7.0,-8.3,17.8,-16.5,1.3,0.54,C,HOME (Kansas State)
Oklahoma State,Iowa State,ESPN Bet,-15.1,9.9,-22.5,13.5,-9.0,0.756,A,AWAY (Iowa State)
Florida Atlantic,East Carolina,ESPN Bet,-8.7,8.0,-14.2,6.5,-7.7,0.723,A,AWAY (East Carolina)
Central Michigan,Toledo,Bovada,-8.8,6.0,-12.3,11.5,-0.8,0.525,C,AWAY (Toledo)
Marshall,Georgia Southern,ESPN Bet,-4.5,-9.4,7.4,-10.5,-3.1,0.594,B,AWAY (Georgia Southern)
Memphis,Navy,ESPN Bet,7.6,6.2,3.9,-3.5,0.4,0.512,Pass,HOME (Memphis)
Kansas,Utah,ESPN Bet,4.1,22.2,-15.6,10.5,-5.1,0.653,A,AWAY (Utah)
North Texas,Temple,Bovada,13.8,-5.1,21.4,-20.0,1.4,0.543,C,HOME (North Texas)
Missouri State,Louisiana Tech,Bovada,-10.7,-1.3,-6.9,-2.5,-9.4,0.765,A,AWAY (Louisiana Tech)
Old Dominion,Georgia State,Bovada,5.9,-24.5,32.9,-29.0,3.9,0.618,A,HOME (Old Dominion)
App State,Arkansas State,Bovada,-11.4,-8.8,-0.1,-1.0,-1.1,0.534,C,AWAY (Arkansas State)
Syracuse,Boston College,ESPN Bet,-13.1,-8.5,-2.1,2.5,0.4,0.512,Pass,HOME (Syracuse)
Baylor,Houston,ESPN Bet,1.4,7.4,-3.5,-2.5,-6.0,0.678,A,AWAY (Houston)
Louisville,Kentucky,Bovada,12.4,1.8,13.1,-1.0,12.1,0.824,A,HOME (Louisville)
Auburn,Alabama,ESPN Bet,11.6,14.8,-0.7,6.5,5.8,0.672,A,HOME (Auburn)
South Carolina,Clemson,DraftKings,5.9,9.5,-1.1,-2.5,-3.6,0.609,A,AWAY (Clemson)
Stanford,Notre Dame,Bovada,-11.8,24.4,-33.7,32.5,-1.2,0.537,C,AWAY (Notre Dame)
Tennessee,Vanderbilt,Bovada,15.0,20.3,-2.8,-2.0,-4.8,0.644,A,AWAY (Vanderbilt)
Miami (OH),Ball State,ESPN Bet,-3.4,-23.0,22.1,-16.5,5.6,0.667,A,HOME (Miami (OH))
BYU,UCF,Bovada,15.9,-1.2,19.6,-17.5,2.1,0.564,B,HOME (BYU)
Rutgers,Penn State,ESPN Bet,1.0,18.1,-14.6,14.5,-0.1,0.503,Pass,AWAY (Penn State)
San José State,Fresno State,Bovada,-14.3,1.8,-13.6,3.5,-10.1,0.781,A,AWAY (Fresno State)
